SongNumber,SongID,AlbumID,AlbumName,ArtistID,ArtistLatitude,ArtistLocation,ArtistLongitude,ArtistName,Danceability,Duration,KeySignature,KeySignatureConfidence,Loudness,Tempo,TimeSignature,TimeSignatureConfidence,Title,Year,ArtistFamiliarity,ArtistHotttnesss,AudioMd5,EndOfFadeIn,Energy,Key,KeyConfidence,Mode,ModeConfidence,Release,SongHotttness,StartOfFadeOut,Genre,TrackId
1,SOBQSLF12A8C139785,296721,The Heart Of Christmas,ARLNSD41187FB4D9A0,42.50382,Italy,12.57347,Sergio Franchi,,170.94485,8,0.217,-16.407,69.768,4,1.0,Silent Night,1987,0.42196043731099453,0.3456373395988333,9dd21d2f360115232fa2fbf87c5c156e,0.203,0.0,8,0.217,1,0.241,The Heart Of Christmas,0.6417711932865512,165.581,,TRAGGVT128F428F842
2,SOMDTTT12A8C13F1CB,303421,Soul Friends,ARISHTQ1187FB3E6F0,,,,Ben E. King,,167.3922,10,0.608,-8.89,86.819,4,0.476,Let It Be Me,,0.6886386535712516,0.47878007430730035,961e5501554357aa838a68375714a64d,3.303,0.0,10,0.608,1,0.596,Soul Friends,,159.997,classic pop and rock,TRAGGSJ128F42A5AE1
3,SOGOJEP12AB018D355,675211,Ghetto Fabolous [Explicit Version],AR3FE581187FB3F90A,,Brooklyn NY,,Fabolous,,225.14893,1,0.164,-5.189,200.435,4,1.0,Ma' Be Easy [Explicit Version],,0.5716816265745298,0.5400077502099329,c86cca8c770995f6c9db8b477387f085,0.0,0.0,1,0.164,1,0.08,Ghetto Fabolous [Explicit Version],,212.869,hip hop rnb and dance hall,TRAGGKN12903CCA8EE
4,SOLAZFN12AB018A094,725669,Afro-Indio,AR1N6N61187FB4E25E,23.0833,Havana Cuba [Jesus Maria],-82.4167,Mongo Santamaria,,194.76853,2,0.579,-8.674,118.295,1,0.0,Lady Marmalade,1975,0.5400377489797789,0.36005330653898404,f1636ce26e5d8ee67f546ae907b90dea,0.15,0.0,2,0.579,0,0.696,Afro-Indio,,182.503,,TRAGGXK12903CDA84B
5,SOJPZIX12AB018B2BD,769725,Riddim Of Silence,ARJJRZ41187FB4C856,,,,Floor,,211.90485,0,0.045,-7.033,160.598,4,0.0,Heather,2009,0.5224238291059312,0.417591879764777,1ad47d62837912c0642fb93c45ce0880,0.119,0.0,0,0.045,1,0.298,Riddim Of Silence,0.26695518627553855,202.368,,TRAGGMY12903CD9533
6,SOHZHHE12A8C1360C0,144765,Quod Superius Sicut Inferius,ARF3L8J1187B9B7866,37.97615,Athens Greece,23.73641,Astarte,,515.36934,4,0.596,-4.694,129.088,3,0.453,Oblivious Darkness,2002,0.5370882970195974,0.3529191836315295,e6382ad48018fe9883d64df17afa0276,0.427,0.0,4,0.596,0,0.566,Quod Superius Sicut Inferius,0.4432913119053975,476.7,black metal,TRAGGVS128F4250CE8
7,SOMDVKP12AAF3B3CD6,529684,Hi-Bias: Club Life 3,AR8K7ET1187B997ABC,,,,Sulk,,552.93342,11,0.005,-9.464,127.92,4,0.0,Only You (Chimi-Changa Club Mix),,0.4500864479700203,0.31791328227769183,389bee5788f3d6efa381ded9b2e9e11b,3.286,0.0,11,0.005,0,0.128,Hi-Bias: Club Life 3,0.0,545.135,,TRAGGSG128F92F6FD9
8,SOSTBCB12A58A75D60,715982,Seasons Of The Scythe,ARTOCWH11F50C4CE12,,,,The Accursed,,171.15383,0,0.204,-7.075,128.928,1,0.0,Slaughter The Gods,,0.44483648644423734,0.31872616158614475,8b7257081d96ac61df54af8fb8bcf4d8,0.0,0.0,0,0.204,1,0.311,Seasons Of The Scythe,,168.6,,TRAGGEQ12903CC25DB
9,SOGQTEC12A6D4FC958,275032,Club Trafikana,ARKULSX1187FB45F84,39.49974,Utah,-111.54732,Trafik,,505.67791,10,0.777,-7.255,125.012,4,1.0,Smoke,,0.5968458517450551,0.4053520109500235,cc1fb9ccdcad0b768c0956a498454d22,0.0,0.0,10,0.777,0,0.62,Club Trafikana,,498.979,,TRAGGUB128F424FDB4
10,SOFAWJJ12AB0180A39,543041,Aitai,ARVFGPJ1187B9A2477,,,,Michelle & Vickie,,190.56281,10,0.226,-4.116,113.373,5,0.686,Party For Pink,,0.36840432673225254,0.2618160974506479,0b16a95d209fda7a79ceaf22a5f8fc90,0.0,0.0,10,0.226,0,0.519,Aitai,,182.967,chinese,TRAGGQQ128F931D8E1
11,SOLKBKQ12A8C13400C,87397,LIVE IN CONCERT,ARHT0B11187B993CB3,30.22032,Lafayette LA,-92.01705,Eddy Raven,,204.85179,5,0.92,-11.14,133.428,1,0.061,I WANNA HEAR IT FROM YOU,1995,0.464994319368088,0.3447211111720015,82e04175c348473aebeed6a908dcf94b,0.0,0.0,5,0.92,1,0.658,LIVE IN CONCERT,,204.852,american,TRAGGHA128F4262D55
12,SOYVCJU12A67AD8617,57000,Infinity On High,ARSG7NQ1187FB57482,,Wilmette IL,,Fall Out Boy,,203.91138,2,0.045,-3.237,140.878,4,0.93,The Carpal Tunnel Of Love,2007,0.9379647503973342,0.5666228875581625,a8a855d025d4ab2ce65e48078443a490,0.0,0.0,2,0.045,0,0.27,Infinity On High,0.7204315384741605,191.216,pop rock | pop punk | pop and chart | post-emo | emo-pop,TRAGNBQ128F149CB93
