"The Heart Of Christmas",42.50382,"Italy",12.57347,"Sergio Franchi",170.94485,-16.407,69.768,"Silent Night",1987,"8",1.0,"The Heart Of Christmas",
"Soul Friends",,,,"Ben E. King",167.3922,-8.89,86.819,"Let It Be Me",,"10",1.0,"Soul Friends","classic pop and rock"
"Ghetto Fabolous [Explicit Version]",,"Brooklyn NY",,"Fabolous",225.14893,-5.189,200.435,"Ma' Be Easy [Explicit Version]",,"1",1.0,"Ghetto Fabolous [Explicit Version]","hip hop rnb and dance hall"
"Afro-Indio",23.0833,"Havana Cuba [Jesus Maria]",-82.4167,"Mongo Santamaria",194.76853,-8.674,118.295,"Lady Marmalade",1975,"2",0.0,"Afro-Indio",
"Riddim Of Silence",,,,"Floor",211.90485,-7.033,160.598,"Heather",2009,"0",1.0,"Riddim Of Silence",
"Quod Superius Sicut Inferius",37.97615,"Athens Greece",23.73641,"Astarte",515.36934,-4.694,129.088,"Oblivious Darkness",2002,"4",0.0,"Quod Superius Sicut Inferius","black metal"
"Hi-Bias: Club Life 3",,,,"Sulk",552.93342,-9.464,127.92,"Only You (Chimi-Changa Club Mix)",,"11",0.0,"Hi-Bias: Club Life 3",
"Seasons Of The Scythe",,,,"The Accursed",171.15383,-7.075,128.928,"Slaughter The Gods",,"0",1.0,"Seasons Of The Scythe",
"Club Trafikana",39.49974,"Utah",-111.54732,"Trafik",505.67791,-7.255,125.012,"Smoke",,"10",0.0,"Club Trafikana",
"Aitai",,,,"Michelle & Vickie",190.56281,-4.116,113.373,"Party For Pink",,"10",0.0,"Aitai","chinese"
"LIVE IN CONCERT",30.22032,"Lafayette LA",-92.01705,"Eddy Raven",204.85179,-11.14,133.428,"I WANNA HEAR IT FROM YOU",1995,"5",1.0,"LIVE IN CONCERT","american"
"Infinity On High",,"Wilmette IL",,"Fall Out Boy",203.91138,-3.237,140.878,"The Carpal Tunnel Of Love",2007,"2",0.0,"Infinity On High","pop rock | pop punk | pop and chart | post-emo | emo-pop"
"Mind Control",,,,"Tantric",176.43057,-2.741,140.111,"Coming Undone",2009,"9",0.0,"Mind Control",
"Voices from the Siren Nation Vol. 2 - Live at the Wonder Ballroom",38.8991,"Washington",-77.029,"Mirah",158.09261,-10.453,116.087,"Apples in the Trees (Live)",,"9",0.0,"Voices from the Siren Nation Vol. 2 - Live at the Wonder Ballroom",
"Fitchburg Street",32.77815,"Dallas TX",-96.7954,"Doyle Bramhall",254.35383,-6.367,168.36,"That's How Strong My Love Is",,"10",1.0,"Fitchburg Street",
"The Now Factor",,,,"Deckard",175.90812,-5.973,90.964,"Deckard",,"1",1.0,"The Now Factor",
"Trouble Boys",,,,"The Refreshments",184.5024,-6.986,169.943,"Here we are",,"7",1.0,"Trouble Boys",
"Zero To Hero",,,,"David Tao",260.33587,-4.602,136.749,"Summer Love Triangle",2009,"2",1.0,"Zero To Hero","taiwanese | hong kong | mandarin | chinese | production music"
"I Always Lose",,"McLellan FL",,"Hank Locklin",168.6722,-15.242,100.705,"(Sittin') Alone At A Table For Two",,"2",1.0,"I Always Lose",
"Tranceplant",,"United States",,"Organ Donors",433.71057,-2.988,140.013,"Tranceplant",,"4",1.0,"Tranceplant",
"Rain Drops",34.7519,"Blythesville AR",-92.13055,"Dee Clark",132.07465,-16.865,95.948,"Just Keep It Up",1990,"10",1.0,"Rain Drops",
"Meet the F@cking Bedwetters",34.05349,"California - LA",-118.24532,"Bedwetters",202.91873,-1.927,101.997,"Like A Deck Of Cards",,"1",0.0,"Meet the F@cking Bedwetters","los angeles | punk | usa | classic hardcore punk | hardcore punk | california punk | california | classic punk"
"Trouble",51.50632,"London England",-0.12714,"Whitesnake",204.14649,-4.556,114.902,"Don't Mess With Me (2006 Digital Remaster)",1978,"2",1.0,"Trouble","british | heavy metal | hard rock | blues rock | blues | deep purple family | uk | english | rock | glam metal | metal | 70s | classic pop and rock | hairmetal | 80s | glam rock"
"In the Blue of My Dreams",,"CANADA - Ontario",,"Dave Rave_ Mark McCarron",165.61587,-13.711,102.16,"They Held Hands",,"6",0.0,"In the Blue of My Dreams",
"Hung Like A Horse EP",,,,"All Leather",108.38159,-7.107,84.562,"As The Hog Pisseth",,"2",1.0,"Hung Like A Horse EP",
"I Keep Faith",,"Barking Essex England",,"Billy Bragg",180.1922,-17.81,81.256,"Goodbye (Solo Version)",2008,"0",1.0,"I Keep Faith","british | folk-rock | rock | anti-folk | uk | english | classic pop and rock | alternative rock | folk"
"Mendelssohn: Piano Concertos Nos.1 & 2 etc",,,,"Jean-Yves Thibaudet / Gewandhausorchester Leipzig / Herbert Blomstedt",413.1522,-19.852,160.246,"1. Molto allegro con fuoco",,"7",0.0,"Mendelssohn: Piano Concertos Nos.1 & 2 etc","classical"
"Rhino Hi-Five: Crabby Appleton",37.16793,"USA",-95.84502,"Crabby Appleton",186.69669,-4.594,89.091,"Go Back",1970,"1",1.0,"Rhino Hi-Five: Crabby Appleton",
"Actuar Para Vivir",,,,"Juan Carlos Baglietto",232.61995,-14.511,97.342,"Tiempos Dificiles",1982,"10",1.0,"Actuar Para Vivir",
"Le tour de France de l'accordéon",,,,"André Blot",179.85261,-6.031,199.483,"Breiz Ma bro",,"10",1.0,"Le tour de France de l'accordéon",
"Guitar Man",33.35303,"Inverness MS",-90.59005,"Little Milton",264.59383,-6.144,76.415,"My Way",,"3",1.0,"Guitar Man",
"Rock N Roll - Remix EP",,,,"Remi Nicole",379.37587,-5.39,84.009,"Rock N Roll",,"10",0.0,"Rock N Roll - Remix EP","rock and indie"
"The Original Johnny Cash Volume 1",,"Kingsland AR",,"Johnny Cash",80.03873,-13.136,196.303,"You Tell Me",1959,"1",1.0,"The Original Johnny Cash Volume 1","country | folk | american | blues | rock and roll | gospel | favorite | rock"
"Defected Accapellas Volume 4",,,,"Junior Jack",96.10404,-12.715,106.216,"E Samba (Accapella)",,"0",1.0,"Defected Accapellas Volume 4","italian | belgian | european | dance and electronica"
"Sylvia",33.89275,"Beirut Lebanon",35.48527,"Gabriel Yared",229.98159,-19.64,111.577,"Devon",2003,"9",1.0,"Sylvia","lebanese | soundtrack composer | soundtrack"
"Edmond Leung Collections",,,,"Edmond Leung",234.1873,-10.67,113.571,"Ling Shi Shi Ji Fen",,"0",1.0,"Edmond Leung Collections","cantopop | cantonese | hong kong | chinese"
"Perfect Dragon",38.2589,"Missouri",-92.43659,"Pumpkin Buzzard",137.63873,-5.676,169.771,"Gumby Killed the Dinosaur (House Mix)",,"10",0.0,"Perfect Dragon",
"Dreamer 'Remixed'",40.88104,"Garfield NJ",-74.1148,"Janice Robinson",459.33669,-6.99,84.655,"Dreamer (Jamie J Sanchez Club Mix)",,"7",1.0,"Dreamer 'Remixed'",
"White Feather",,"Sydney Australia",,"Wolfmother",316.21179,-6.183,110.441,"White Feather",2009,"4",1.0,"White Feather","rock and indie"
"Twilight Fields",,,,"Stephan Micus",519.8624,-22.517,142.158,"Part 1 (19 Flowerpots_ 2 Hammered Dulcimers_ Bavarian Zither_ Shakuhachi)",1988,"0",1.0,"Twilight Fields","german"
"Karajan & L'Opera",,"Salzburg Austria",,"Herbert Von Karajan",288.41751,-22.384,75.416,"Si Mi Chiamano Mimila Boheme Act1 Remast",,"9",1.0,"Karajan & L'Opera","karajan | german"
"This Kind Of Love",,"Gainesville FL",,"Sister Hazel",230.37342,-12.283,139.841,"This Kind Of Love (Full Band)",,"2",1.0,"This Kind Of Love",
"Sometimes I Just Feel Like Smilin'",,,,"The Paul Butterfield Blues Band",228.75383,-13.705,77.207,"Pretty Woman (LP Version)",1971,"3",1.0,"Sometimes I Just Feel Like Smilin'",
"Yamandu + Dominguinhos",,,,"Yamandu + Dominguinhos",276.79302,-16.21,118.239,"Chorando Baixinho",,"9",0.0,"Yamandu + Dominguinhos",
"In Search Of The Magic",37.16793,"United States",-95.84502,"Jim Chappell",217.49506,-23.69,86.39,"Almost Us",1997,"7",1.0,"In Search Of The Magic",
"Ivory",,"Santa Monica CA",,"Teena Marie",328.56771,-11.037,81.947,"How Can You Resist It",1990,"9",1.0,"Ivory","funk | rnb | urban contemporary | rock | american | dance-pop | soul and reggae"
"Lullaby - Music for the Quiet Times",40.14323,"New Jersey",-74.72671,"The American Boychoir",224.54812,-33.595,87.76,"Intermezzo",,"4",1.0,"Lullaby - Music for the Quiet Times",
"The Military Band - Salute to the Services",38.62774,"St. Louis MO",-90.19951,"Felix Slatkin/Concert Arts Symphonic Band",138.57914,-16.325,122.774,"El Capitan (1998 Digital Remaster)",,"3",1.0,"The Military Band - Salute to the Services",
"I Believe To My Soul",30.43883,"Ponchatoula LA",-90.44116,"Irma Thomas",195.36934,-9.675,99.492,"The Same Love That Made Me Laugh  [LP Version]",,"0",1.0,"I Believe To My Soul","classic pop and rock"
"He's Working It Out For You",,"DURHAM North Carolina",,"Shirley Caesar",266.03057,-9.116,115.508,"Healed (LP Version)",,"1",1.0,"He's Working It Out For You",
"The Right Time",,"Los Angeles CA",,"Cherrelle",290.82077,-6.222,145.607,"Into My Eyes",1999,"8",0.0,"The Right Time",
"Spotlight On Jerry Butler",33.54243,"Sunflower MS",-90.53727,"Jerry Butler",167.18322,-18.341,87.758,"He Will Break Your Heart",1960,"11",1.0,"Spotlight On Jerry Butler",
"Portals",36.97402,"Santa Cruz CA",-122.03095,"Arsonists Get All The Girls",240.92689,-3.424,129.824,"Violence in Fluid Triceratops",2009,"1",1.0,"Portals","mathcore | grindcore | sucky | experimental | american | metal"
"Mo' Mega",,,,"Mr. Lif",327.6273,-7.144,107.32,"For You",2006,"10",0.0,"Mo' Mega",
"The Infamous",,"Queensbridge NY",,"Mobb Deep",298.00444,-5.16,87.747,"Up North Trip",1995,"6",0.0,"The Infamous","new york | us | hip-hop | rap | hip hop rnb and dance hall"
"Petraphonics",,"Fort Wayne Indiana",,"Petra",222.61506,-11.403,107.531,"Don't Let Your Heart Be Hardened (This Means War Album Version)",,"0",1.0,"Petraphonics",
"Lost Dogs",47.60356,"Seattle WA",-122.32944,"Pearl Jam",232.35873,-12.246,138.291,"4/20/02",,"7",1.0,"Lost Dogs","grunge | rock | seattle | alternative rock | american | hard rock | rock and indie"
"The Long Way Home",,,,"Jarvis Church",231.73179,-5.659,119.976,"So Beautiful",,"8",1.0,"The Long Way Home",
"Snivilisation",51.27562,"Sevenoaks United Kingdom",0.17898,"Orbital",933.642,-10.328,95.315,"Are We Here ?",1994,"0",1.0,"Snivilisation","british | english | sevenoaks | house | techno | electronica | electronic | ambient techno | uk | dance and electronica"
"Un Mundo De Sensaciones",,,,"2 Minutos",88.58077,-3.211,203.994,"Rompan Todo",2006,"5",1.0,"Un Mundo De Sensaciones",
"Debout là d'dans",,,,"Ministère des Affaires Populaires",140.12036,-16.165,66.963,"Bagdad by night",,"2",1.0,"Debout là d'dans",
