"ArtistLocation","Split Value 1","Split Value 2","Split Value 3","Split Value 4","Split Value 5","Split Value 6","Split Value 7","Split Value 8","Split Value 9","Split Value 10","Split Value 11","Split Value 12","Split Value 13","Split Value 14","Split Value 15","Split Value 16","Split Value 17","Split Value 18","Split Value 19","Split Value 20","Split Value 21","Split Value 22","Split Value 23","Split Value 24","Split Value 25","Split Value 26","Split Value 27","Split Value 28","Split Value 29","Split Value 30","Split Value 31","Split Value 32","Split Value 33","Split Value 34","Split Value 35","Split Value 36","Split Value 37","Split Value 38","Split Value 39","Split Value 40","Split Value 41","Split Value 42"
"Aitkin MN","folk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alabama","industrial","metal","american","alternative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alberta Canada","celtic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amsterdam The Netherlands","nl","hiphop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anderson IN","punk","usa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Argentina","world",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arizona","latvian","horror","punk","american",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Atamisqui Argentina","argentine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Athens Greece","black","metal","greek","eurovision","french","pop","japanese","world","european","easy","listening","jazz","folk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Atlanta GA","metal","christian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Austin TX","country","folk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Australia","australia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BA","canadian","disco-punk","electronic","rock","n","roll",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BEVERLY HILLS California","american","los","angeles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bakersfield CA","american","nu","metal","nu-metal","new","alternative","united","states","industrial",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Battle Sussex England","production","music",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beirut Lebanon","lebanese","soundtrack","composer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Belfast Northern Ireland","uk","northern","irish","classical","production","music","blues","rock","hard",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bergen Norway","alternative","norwegian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Berkeley CA","american","punk","usa","rock","américain","hardcore","ska","los","angeles","skate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Berlin Germany","german","digital","hardcore","punk","gabber","industrial","breakcore","electropunk","european","germany","berlin","electro","techno","pop",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beverly Massachusetts","post-rock",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Birmingham/ London UK","desi","electro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Borlänge","suédois","garage","rock","swedish","scandinavia","suède","scandinave","scandinavie","scandinavian","sweden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boston","latvian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boston MA","folk","punk","celtic","usa","ska","american","américain","metalcore",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boulder CO","united","states",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bowling Green VA","blues",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bremen Germany","german","jazz","european",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bremerton WA","punk","rock","american","pop","usa","christian","alt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brenham TX","folk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bridgeport CT","swedish",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Broken Bow OK","country","american","folk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brooklyn NY","american",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brooklyn New York","wu-tang","us","hiphop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brou-sur-Chantereine France","french",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brownsville TX","folk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brussels Belgium","guitarist","harmonicist","jazz","belgian","whistler",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buenos Aires.","ska","latin","argentina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CANADA - Ontario","blues","rock",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"California","jazz","american","punk","california","usa","poway","post-hardcore","alternative","rock","metal","funk","swiss","swedish",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"California - LA","los","angeles","punk","usa","classic","hardcore","california","american","production","music","blues",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"California - SF","ambient","folk","instrumental","electronic","new","wave","punk","usa","california","san","francisco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carcassonne France","star","academy","french",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cardiff Wales","wales","glam","metal","british",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carle Place New York","heavy","metal","hard","rock","american","instrumental","archives",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Casablanca Morocco","french","français","france","francophone","chanson","française","parolier","chanteur","lyricist","singer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Catania Italy","italian","classical","opera","european","production","music",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Centerville TX","american","blues",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Centre","french","pop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Charlotte NC","metal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Charlottesville VA","alternative","rock","jam","band","american",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chelmsford England","jazz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chuckatuck VA","swing","bossa","nova","latin","jazz","brazilian","american",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"City of Angels","deathcore","american","metal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clarksdale MS","blues",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cleveland OH","thrash","metal","metalcore","american","hardcore","groove","punk","usa","cleveland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Compton CA","hip","hop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Compton California","hip","hop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Connecticut","alternative","rock","christian","british",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Couchman TX","blues","american",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coventry England","uk","australian","british","english",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DeKalb Illinois USA","black","metal","american",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Des Moines Iowa","punk","usa","connecticut","new","haven",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Detroit MI","rnb","gospel","american","soul","adult","contemporary","pop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dublin Ireland","blues","folk","singer","songwriter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"D�orf Germany","ndw","german","düsseldorf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Earth","trance","electronic","progressive","house","composer","film",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"East Moline IL","producer","rock","songwriter","pop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Edmonton Alberta Canada","electronic","canadian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Edwards MS","blues","delta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"El Paso TX","los","angeles","punk","california","usa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"England","uk","punk","london","england","rock","british","english","orchestral","conductor","arranger","composer","record","producer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Escatawpa MS","alternative","rock","southern","hard","post-grunge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Espoo/Helsinki","finnish","melodic","death","metal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Essex England","house","trance","techno","electronic","rave","british",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Estonia","estonian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FLGAKY","alternative","metal","hard","rock","post-grunge","american",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FR","french",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Finland","finnish",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Firenze Italy","italian","european",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Flint MI","hard","rock","american",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
